M,average_work,build_time_s,candidate_budget,compact_time_s,comparison,dim,ef_construction,ef_search,engine,first_query_ms,index_bytes,n,name,nlist,p50_ms,p95_ms,p99_ms,pq_m,pq_mode,process_rss_KB,projected_resident_bytes_at_1m,qps,queries,raw_vector_bytes,recall_at_1,recall_at_10,rerank,resident_index_bytes,reused_index,selected,setting,train_time_s
16,1053.4,2812.152,,0.0,controlled,128,200,50,hnsw,1.4013,688836835,1000000,hnsw-M16,,0.9167,2.1848,3.3627,32,standard,238128,191930416,890.213,10000,512000000,0.5933,0.6827,0,191930416,False,False,"M=16,ef=50,rerank=0",8.546
16,1772.6,2812.152,,0.0,controlled,128,200,50,hnsw,2.0975,688836835,1000000,hnsw-M16,,1.3342,3.0619,8.2622,32,standard,712384,191930416,625.174,10000,512000000,0.9738,0.9686,100,191930416,False,False,"M=16,ef=50,rerank=100",8.546
16,3054.7,2812.152,,0.0,controlled,128,200,50,hnsw,2.7311,688836835,1000000,hnsw-M16,,2.2563,2.5056,2.6281,32,standard,705216,191930416,450.822,10000,512000000,0.9868,0.9891,200,191930416,False,False,"M=16,ef=50,rerank=200",8.546
16,1772.6,2812.152,,0.0,controlled,128,200,100,hnsw,1.6182,688836835,1000000,hnsw-M16,,1.2718,1.4107,1.4941,32,standard,706080,191930416,798.152,10000,512000000,0.6063,0.695,0,191930416,False,False,"M=16,ef=100,rerank=0",8.546
16,1772.6,2812.152,,0.0,controlled,128,200,100,hnsw,1.6222,688836835,1000000,hnsw-M16,,1.2974,1.4338,1.5056,32,standard,706112,191930416,783.227,10000,512000000,0.9738,0.9686,100,191930416,False,True,"M=16,ef=100,rerank=100",8.546
16,3054.7,2812.152,,0.0,controlled,128,200,100,hnsw,2.7585,688836835,1000000,hnsw-M16,,2.252,2.4991,2.6334,32,standard,705664,191930416,451.514,10000,512000000,0.9868,0.9891,200,191930416,False,False,"M=16,ef=100,rerank=200",8.546
16,3054.7,2812.152,,0.0,controlled,128,200,200,hnsw,2.6527,688836835,1000000,hnsw-M16,,2.1977,2.4404,2.539,32,standard,705984,191930416,463.36,10000,512000000,0.6101,0.6991,0,191930416,False,False,"M=16,ef=200,rerank=0",8.546
16,3054.7,2812.152,,0.0,controlled,128,200,200,hnsw,2.627,688836835,1000000,hnsw-M16,,2.2407,2.4874,2.5886,32,standard,705984,191930416,454.469,10000,512000000,0.9865,0.988,100,191930416,False,False,"M=16,ef=200,rerank=100",8.546
16,3054.7,2812.152,,0.0,controlled,128,200,200,hnsw,2.6607,688836835,1000000,hnsw-M16,,2.2578,2.5026,2.612,32,standard,706000,191930416,450.93,10000,512000000,0.9868,0.9891,200,191930416,False,False,"M=16,ef=200,rerank=200",8.546
16,5285.9,2812.152,,0.0,controlled,128,200,400,hnsw,4.6528,688836835,1000000,hnsw-M16,,4.0725,4.5462,4.7185,32,standard,709552,191930416,251.191,10000,512000000,0.6117,0.7006,0,191930416,False,False,"M=16,ef=400,rerank=0",8.546
16,5285.9,2812.152,,0.0,controlled,128,200,400,hnsw,4.645,688836835,1000000,hnsw-M16,,4.2185,5.3413,7.0174,32,standard,699360,191930416,233.182,10000,512000000,0.9903,0.995,100,191930416,False,False,"M=16,ef=400,rerank=100",8.546
16,5285.9,2812.152,,0.0,controlled,128,200,400,hnsw,4.6803,688836835,1000000,hnsw-M16,,4.2042,4.9322,6.4525,32,standard,698480,191930416,236.636,10000,512000000,0.9913,0.9963,200,191930416,False,False,"M=16,ef=400,rerank=200",8.546
16,9090.1,2812.152,,0.0,controlled,128,200,800,hnsw,8.7661,688836835,1000000,hnsw-M16,,7.4934,8.5511,9.6443,32,standard,582960,191930416,134.555,10000,512000000,0.6118,0.7009,0,191930416,False,False,"M=16,ef=800,rerank=0",8.546
16,9090.1,2812.152,,0.0,controlled,128,200,800,hnsw,12.4871,688836835,1000000,hnsw-M16,,7.5631,8.678,10.0739,32,standard,700832,191930416,133.222,10000,512000000,0.9916,0.997,100,191930416,False,False,"M=16,ef=800,rerank=100",8.546
16,9090.1,2812.152,,0.0,controlled,128,200,800,hnsw,8.7105,688836835,1000000,hnsw-M16,,7.6114,8.6541,9.3518,32,standard,699728,191930416,132.925,10000,512000000,0.9916,0.9983,200,191930416,False,False,"M=16,ef=800,rerank=200",8.546
